File Name	Read Count	Status	SRR file
SRR12486785_1.fastq	15	CRITICAL FAILURE	SRR12486785
SRR12486785_2.fastq	15	CRITICAL FAILURE	
SRR12514790_1.fastq	46	CRITICAL FAILURE	SRR12514790
SRR12514790_2.fastq	46	CRITICAL FAILURE	
SRR12486703_1.fastq	"1,166"	CRITICAL FAILURE	SRR12486703
SRR12486703_2.fastq	"1,166"	CRITICAL FAILURE	
SRR12514708_1.fastq	"1,166"	CRITICAL FAILURE	SRR12514708
SRR12514708_2.fastq	"1,166"	CRITICAL FAILURE	
SRR12486704_1.fastq	"1,979"	CRITICAL FAILURE	SRR12486704
SRR12486704_2.fastq	"1,979"	CRITICAL FAILURE	
SRR12514709_1.fastq	"1,979"	CRITICAL FAILURE	SRR12514709
SRR12514709_2.fastq	"1,979"	CRITICAL FAILURE	
SRR12486798_1.fastq	"7,682"	Low Reads	SRR12486798
SRR12486798_2.fastq	"7,682"	Low Reads	
SRR12486744_1.fastq	"10,656"	Low Reads	
SRR12486744_2.fastq	"10,656"	Low Reads	
SRR12486774_1.fastq	"18,972"	Low Reads	
SRR12486774_2.fastq	"18,972"	Low Reads	
SRR12514803_1.fastq	"20,313"	Low Reads	
SRR12514803_2.fastq	"20,313"	Low Reads	
SRR12486755_1.fastq	"20,815"	Low Reads	
SRR12486755_2.fastq	"20,815"	Low Reads	
SRR12486750_1.fastq	"21,270"	Low Reads	
SRR12486750_2.fastq	"21,270"	Low Reads	
SRR12486768_1.fastq	"21,327"	Low Reads	
SRR12486768_2.fastq	"21,327"	Low Reads	
SRR12486751_1.fastq	"23,358"	Low Reads	
SRR12486751_2.fastq	"23,358"	Low Reads	
SRR12486765_1.fastq	"24,846"	Low Reads	
SRR12486765_2.fastq	"24,846"	Low Reads	
SRR12486761_1.fastq	"24,904"	Low Reads	
SRR12486761_2.fastq	"24,904"	Low Reads	
SRR12486784_1.fastq	"24,917"	Low Reads	
SRR12486784_2.fastq	"24,917"	Low Reads	
SRR12486756_1.fastq	"25,438"	Low Reads	
SRR12486756_2.fastq	"25,438"	Low Reads	
SRR12514749_1.fastq	"25,456"	Low Reads	
SRR12514749_2.fastq	"25,456"	Low Reads	
SRR12486759_1.fastq	"25,958"	Low Reads	
SRR12486759_2.fastq	"25,958"	Low Reads	
SRR12486678_1.fastq	"26,478"	Low Reads	
SRR12486678_2.fastq	"26,478"	Low Reads	
SRR12486782_1.fastq	"26,577"	Low Reads	
SRR12486782_2.fastq	"26,577"	Low Reads	
SRR12486745_1.fastq	"27,431"	Low Reads	
SRR12486745_2.fastq	"27,431"	Low Reads	
SRR12486778_1.fastq	"27,843"	Low Reads	
SRR12486778_2.fastq	"27,843"	Low Reads	
SRR12486666_1.fastq	"28,456"	Low Reads	
SRR12486666_2.fastq	"28,456"	Low Reads	
SRR12486775_1.fastq	"29,747"	Low Reads	
SRR12486775_2.fastq	"29,747"	Low Reads	
SRR12486741_1.fastq	"29,806"	Low Reads	
SRR12486741_2.fastq	"29,806"	Low Reads	
SRR12486675_1.fastq	"30,259"	Low Reads	
SRR12486675_2.fastq	"30,259"	Low Reads	
SRR12486770_1.fastq	"30,727"	Low Reads	
SRR12486770_2.fastq	"30,727"	Low Reads	
SRR12486789_1.fastq	"30,971"	Low Reads	
SRR12486789_2.fastq	"30,971"	Low Reads	
SRR12486664_1.fastq	"31,010"	Low Reads	
SRR12486664_2.fastq	"31,010"	Low Reads	
SRR12486754_1.fastq	"31,343"	Low Reads	
SRR12486754_2.fastq	"31,343"	Low Reads	
SRR12486674_1.fastq	"32,019"	Low Reads	
SRR12486674_2.fastq	"32,019"	Low Reads	
SRR12486665_1.fastq	"32,747"	Low Reads	
SRR12486665_2.fastq	"32,747"	Low Reads	
SRR12486662_1.fastq	"32,763"	Low Reads	
SRR12486662_2.fastq	"32,763"	Low Reads	
SRR12486781_1.fastq	"32,879"	Low Reads	
SRR12486781_2.fastq	"32,879"	Low Reads	
SRR12486752_1.fastq	"32,963"	Low Reads	
SRR12486752_2.fastq	"32,963"	Low Reads	
SRR12486659_1.fastq	"33,368"	Low Reads	
SRR12486659_2.fastq	"33,368"	Low Reads	
SRR12486676_1.fastq	"33,658"	Low Reads	
SRR12486676_2.fastq	"33,658"	Low Reads	
SRR12486660_1.fastq	"33,845"	Low Reads	
SRR12486660_2.fastq	"33,845"	Low Reads	
SRR12486792_1.fastq	"34,063"	Low Reads	
SRR12486792_2.fastq	"34,063"	Low Reads	
SRR12486655_1.fastq	"34,427"	Low Reads	
SRR12486655_2.fastq	"34,427"	Low Reads	
SRR12486668_1.fastq	"34,515"	Low Reads	
SRR12486668_2.fastq	"34,515"	Low Reads	
SRR12486748_1.fastq	"35,496"	Low Reads	
SRR12486748_2.fastq	"35,496"	Low Reads	
SRR12486650_1.fastq	"36,083"	Low Reads	
SRR12486650_2.fastq	"36,083"	Low Reads	
SRR12486653_1.fastq	"37,377"	Low Reads	
SRR12486653_2.fastq	"37,377"	Low Reads	
SRR12486795_1.fastq	"37,404"	Low Reads	
SRR12486795_2.fastq	"37,404"	Low Reads	
SRR12486793_1.fastq	"37,427"	Low Reads	
