Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_ID,Sample Name,Sheep_ID,SRA Study,visit_sheep_foot
SRR12514653,AMPLICON,493,149690982,PRJNA658364,SAMN15867654,Metagenome or environmental,74037553,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",A_HEALTHY,SRX9005420,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,175-11F1,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-175-11F1,Sample-175-11F1,1,SRP278242,1-1-F1
SRR12514654,AMPLICON,496,200516515,PRJNA658364,SAMN15867592,Metagenome or environmental,96953503,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",A_HEALTHY,SRX9005419,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,17-1712F3,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-17-1712F3,Sample-17-1712F3,12,SRP278242,17-12-F3
SRR12514655,AMPLICON,487,47520860,PRJNA658364,SAMN15867591,Metagenome or environmental,25192511,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",D_FOOTROT,SRX9005418,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,157-325F2,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-157-325F2,Sample-157-325F2,5,SRP278242,32-5-F2
SRR12514656,AMPLICON,494,55586587,PRJNA658364,SAMN15867590,Metagenome or environmental,27669947,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",D_FOOTROT,SRX9005417,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,154-315F2,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-154-315F2,Sample-154-315F2,5,SRP278242,31-5-F2
SRR12514657,AMPLICON,493,60771989,PRJNA658364,SAMN15867589,Metagenome or environmental,30216234,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",D_FOOTROT,SRX9005416,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,150-3112F3,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-150-3112F3,Sample-150-3112F3,12,SRP278242,31-12-F3
SRR12514658,AMPLICON,494,46466396,PRJNA658364,SAMN15867588,Metagenome or environmental,23118782,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",D_FOOTROT,SRX9005415,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,144-308F3,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-144-308F3,Sample-144-308F3,8,SRP278242,30-8-F3
SRR12514659,AMPLICON,487,54740343,PRJNA658364,SAMN15867587,Metagenome or environmental,28714842,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",D_FOOTROT,SRX9005414,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,143-305F2,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-143-305F2,Sample-143-305F2,5,SRP278242,30-5-F2
SRR12514660,AMPLICON,491,45261939,PRJNA658364,SAMN15867585,Metagenome or environmental,23545097,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",D_FOOTROT,SRX9005413,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,141-3012F3,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-141-3012F3,Sample-141-3012F3,12,SRP278242,30-12-F3
SRR12514661,AMPLICON,493,52795978,PRJNA658364,SAMN15867583,Metagenome or environmental,26882791,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",D_FOOTROT,SRX9005412,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,139-299F1,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-139-299F1,Sample-139-299F1,9,SRP278242,29-9-F1
SRR12514662,AMPLICON,492,59362834,PRJNA658364,SAMN15867581,Metagenome or environmental,30887458,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",D_FOOTROT,SRX9005411,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,138-298F3,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-25T12:30:00Z,1,Sample-138-298F3,Sample-138-298F3,8,SRP278242,29-8-F3
