#SampleID	disease_state	sheep_id	day	foot	sample_type
Sample-175-11F1_SRR12486648	A_HEALTHY	1	1	F1	Swab
Sample-17-1712F3_SRR12486649	A_HEALTHY	12	17	F3	Swab
Sample-157-325F2_SRR12486650	D_FOOTROT	5	32	F2	Swab
Sample-154-315F2_SRR12486651	D_FOOTROT	5	31	F2	Swab
Sample-150-3112F3_SRR12486652	D_FOOTROT	12	31	F3	Swab
Sample-144-308F3_SRR12486653	D_FOOTROT	8	30	F3	Swab
Sample-143-305F2_SRR12486654	D_FOOTROT	5	30	F2	Swab
Sample-141-3012F3_SRR12486655	D_FOOTROT	12	30	F3	Swab
Sample-139-299F1_SRR12486656	D_FOOTROT	9	29	F1	Swab
Sample-138-298F3_SRR12486657	D_FOOTROT	8	29	F3	Swab
Sample-111-B17_SRR12486658	E_CODD	8	43	F3	Swab
Sample-137-295F2_SRR12486659	D_FOOTROT	5	29	F2	Swab
Sample-134-2914F3_SRR12486660	D_FOOTROT	14	29	F3	Swab
Sample-131-2912F3_SRR12486661	D_FOOTROT	12	29	F3	Swab
Sample-13-158F3_SRR12486662	A_HEALTHY	8	15	F3	Swab
Sample-124-289F1_SRR12486663	D_FOOTROT	9	28	F1	Swab
Sample-123-288F3_SRR12486664	D_FOOTROT	8	28	F3	Swab
Sample-122-285F2_SRR12486665	C_ID	5	28	F2	Swab
Sample-120-282F2_SRR12486666	D_FOOTROT	2	28	F2	Swab
Sample-12-155F2_SRR12486667	A_HEALTHY	5	15	F2	Swab
Sample-119-2814F3_SRR12486668	D_FOOTROT	14	28	F3	Swab
Sample-110-B16_SRR12486669	E_CODD	8	38	F3	Swab
Sample-118-2812F3_SRR12486670	D_FOOTROT	12	28	F3	Swab
Sample-115-279F1_SRR12486671	D_FOOTROT	9	27	F1	Swab
Sample-114-278F3_SRR12486672	C_ID	8	27	F3	Swab
Sample-113-275F2_SRR12486673	C_ID	5	27	F2	Swab
Sample-111-272F2_SRR12486674	D_FOOTROT	2	27	F2	Swab
Sample-11-152F2_SRR12486675	A_HEALTHY	2	15	F2	Swab
Sample-109-2714F3_SRR12486676	C_ID	14	27	F3	Swab
Sample-106-2712F3_SRR12486677	D_FOOTROT	12	27	F3	Swab
Sample-100-269F1_SRR12486678	C_ID	9	26	F1	Swab
Sample-1-115F2_SRR12486679	A_HEALTHY	5	11	F2	Swab
Sample-109-B15_SRR12486680	E_CODD	8	34	F3	Swab
Sample-99-B5_SRR12486681	E_CODD	2	39	F2	Swab
Sample-98-B4_SRR12486682	E_CODD	2	35	F2	Swab
Sample-97-B3_SRR12486683	E_CODD	2	33	F2	Swab
Sample-96-B2_SRR12486684	E_CODD	2	29	F2	Swab
Sample-174-B80_SRR12486685	E_CODD	4	27	Unknown	Biopsy
Sample-173-B79_SRR12486686	E_CODD	4	28	Unknown	Biopsy
Sample-172-B78_SRR12486687	E_CODD	4	31	Unknown	Biopsy
Sample-171-B77_SRR12486688	E_CODD	4	30	Unknown	Biopsy
Sample-170-B76_SRR12486689	E_CODD	4	26	Unknown	Biopsy
Sample-169-B75_SRR12486690	E_CODD	4	29	Unknown	Biopsy
Sample-108-B14_SRR12486691	E_CODD	8	33	F3	Swab
Sample-167-B73_SRR12486692	E_CODD	4	32	Unknown	Biopsy
Sample-166-B72_SRR12486693	E_CODD	3	23	Unknown	Biopsy
Sample-165-B71_SRR12486694	E_CODD	3	22	Unknown	Biopsy
Sample-164-B70_SRR12486695	E_CODD	3	20	Unknown	Biopsy
Sample-163-B69_SRR12486696	E_CODD	3	18	Unknown	Biopsy
Sample-162-B68_SRR12486697	E_CODD	3	17	Unknown	Biopsy
Sample-161-B67_SRR12486698	E_CODD	3	24	Unknown	Biopsy
Sample-160-B66_SRR12486699	E_CODD	3	21	Unknown	Biopsy
Sample-159-B65_SRR12486700	E_CODD	3	19	Unknown	Biopsy
Sample-158-B64_SRR12486701	E_CODD	2	16	F2	Biopsy
Sample-107-B13_SRR12486702	TRANSITION	8	23	F3	Swab
Sample-157-B63_SRR12486703	E_CODD	2	9	F2	Biopsy
Sample-156-B62_SRR12486704	E_CODD	2	11	F2	Biopsy
Sample-155-B61_SRR12486705	E_CODD	2	13	F2	Biopsy
Sample-154-B60_SRR12486706	E_CODD	2	14	F2	Biopsy
Sample-153-B59_SRR12486707	E_CODD	2	12	F2	Biopsy
Sample-152-B58_SRR12486708	E_CODD	2	10	F2	Biopsy
Sample-151-B57_SRR12486709	E_CODD	2	15	F2	Biopsy
Sample-150-B56_SRR12486710	E_CODD	1	8	Unknown	Biopsy
Sample-149-B55_SRR12486711	E_CODD	1	1	Unknown	Biopsy
Sample-148-B54_SRR12486712	E_CODD	1	4	Unknown	Biopsy
Sample-105-B11_SRR12486713	E_CODD	5	41	F2	Swab
Sample-147-B53_SRR12486714	E_CODD	1	2	Unknown	Biopsy
Sample-146-B52_SRR12486715	E_CODD	1	6	Unknown	Biopsy
Sample-145-B51_SRR12486716	E_CODD	1	5	Unknown	Biopsy
Sample-144-B50_SRR12486717	E_CODD	1	7	Unknown	Biopsy
Sample-143-B49_SRR12486718	E_CODD	1	3	Unknown	Biopsy
Sample-142-B48_SRR12486719	TREATED	12	47	F3	Swab
Sample-141-B47_SRR12486720	E_CODD	12	43	F3	Swab
Sample-140-B46_SRR12486721	E_CODD	12	38	F3	Swab
Sample-138-B44_SRR12486722	E_CODD	12	37	F3	Swab
Sample-137-B43_SRR12486723	E_CODD	12	35	F3	Swab
Sample-104-B10_SRR12486724	E_CODD	5	38	F2	Swab
Sample-136-B42_SRR12486725	TRANSITION	12	23	F3	Swab
Sample-134-B40_SRR12486726	E_CODD	14	39	F3	Swab
Sample-133-B39_SRR12486727	E_CODD	14	38	F3	Swab
Sample-132-B38_SRR12486728	E_CODD	14	35	F3	Swab
Sample-131-B37_SRR12486729	E_CODD	14	31	F3	Swab
Sample-130-B36_SRR12486730	TRANSITION	14	21	F3	Swab
Sample-128-B34_SRR12486731	E_CODD	9	38	F1	Swab
Sample-126-B32_SRR12486732	E_CODD	9	35	F1	Swab
Sample-125-B31_SRR12486733	E_CODD	9	31	F1	Swab
Sample-124-B30_SRR12486734	TRANSITION	9	21	F1	Swab
Sample-103-B9_SRR12486735	E_CODD	5	35	F2	Swab
Sample-123-B29_SRR12486736	TREATED	23	47	F4	Swab
Sample-122-B28_SRR12486737	TREATED	8	47	F3	Swab
Sample-121-B27_SRR12486738	E_CODD	8	41	F4	Swab
Sample-120-B26_SRR12486739	TREATED	5	47	F1	Swab
Sample-95-B1_SRR12486740	TRANSITION	2	21	F2	Swab
Sample-98-262F2_SRR12486741	D_FOOTROT	2	26	F2	Swab
Sample-97-2612F3_SRR12486742	C_ID	12	26	F3	Swab
Sample-94-259F1_SRR12486743	C_ID	9	25	F1	Swab
Sample-93-258F3_SRR12486744	C_ID	8	25	F3	Swab
Sample-92-255F2_SRR12486745	C_ID	5	25	F2	Swab
Sample-91-252F2_SRR12486746	C_ID	2	25	F2	Swab
Sample-119-B25_SRR12486747	TREATED	2	47	F2	Swab
Sample-9-1514F3_SRR12486748	A_HEALTHY	14	15	F3	Swab
Sample-89-2514F3_SRR12486749	C_ID	14	25	F3	Swab
Sample-86-2512F3_SRR12486750	C_ID	12	25	F3	Swab
Sample-80-249F1_SRR12486751	C_ID	9	24	F1	Swab
Sample-79-242F2_SRR12486752	C_ID	2	24	F2	Swab
Sample-78-2414F3_SRR12486753	C_ID	14	24	F3	Swab
Sample-75-239F1_SRR12486754	TRANSITION	9	23	F1	Swab
Sample-74-238F3_SRR12486755	TRANSITION	8	23	F3	Swab
Sample-73-235F2_SRR12486756	TRANSITION	5	23	F2	Swab
Sample-71-232F2_SRR12486757	C_ID	2	23	F2	Swab
Sample-117-B23_SRR12486758	E_CODD	23	39	F4	Swab
Sample-69-2314F3_SRR12486759	C_ID	14	23	F3	Swab
Sample-66-2312F3_SRR12486760	TRANSITION	12	23	F3	Swab
Sample-62-2212F3_SRR12486761	C_ID	12	22	F3	Swab
Sample-6-1512F3_SRR12486762	A_HEALTHY	12	15	F3	Swab
Sample-59-219F1_SRR12486763	TRANSITION	9	21	F1	Swab
Sample-58-218F3_SRR12486764	TRANSITION	8	21	F3	Swab
Sample-57-215F2_SRR12486765	TRANSITION	5	21	F2	Swab
Sample-55-212F2_SRR12486766	TRANSITION	2	21	F2	Swab
Sample-53-2114F3_SRR12486767	TRANSITION	14	21	F3	Swab
Sample-50-2112F3_SRR12486768	TRANSITION	12	21	F3	Swab
Sample-116-B22_SRR12486769	E_CODD	23	38	F4	Swab
Sample-46-205F2_SRR12486770	C_ID	5	20	F2	Swab
Sample-42-199F1_SRR12486771	A_HEALTHY	9	19	F1	Swab
Sample-41-198F3_SRR12486772	TRANSITION	8	19	F3	Swab
Sample-40-195F2_SRR12486773	C_ID	5	19	F2	Swab
Sample-38-192F2_SRR12486774	TRANSITION	2	19	F2	Swab
Sample-36-1914F3_SRR12486775	TRANSITION	14	19	F3	Swab
Sample-33-1912F3_SRR12486776	A_HEALTHY	12	19	F3	Swab
Sample-29-185F2_SRR12486777	C_ID	5	18	F2	Swab
Sample-26-179F1_SRR12486778	A_HEALTHY	9	17	F1	Swab
Sample-25-178F3_SRR12486779	A_HEALTHY	8	17	F3	Swab
Sample-115-B21_SRR12486780	E_CODD	23	35	F4	Swab
Sample-24-175F2_SRR12486781	A_HEALTHY	5	17	F2	Swab
Sample-22-172F2_SRR12486782	A_HEALTHY	2	17	F2	Swab
Sample-20-1714F3_SRR12486783	A_HEALTHY	14	17	F3	Swab
Sample-2-135F2_SRR12486784	A_HEALTHY	5	13	F2	Swab
Extractcontrol_SRR12486785	CONTROL	EC	EC	EC	Control
Sample-190-19F3_SRR12486786	A_HEALTHY	9	1	F3	Swab
Sample-189-19F1_SRR12486787	A_HEALTHY	9	1	F1	Swab
Sample-188-18F3_SRR12486788	A_HEALTHY	8	1	F3	Swab
Sample-187-15F2_SRR12486789	A_HEALTHY	5	1	F2	Swab
Sample-186-13F1_SRR12486790	A_HEALTHY	3	1	F1	Swab
Sample-114-B20_SRR12486791	E_CODD	23	32	F4	Swab
Sample-185-12F2_SRR12486792	A_HEALTHY	2	1	F2	Swab
Sample-184-119F2_SRR12486793	A_HEALTHY	19	1	F2	Swab
Sample-183-114F3_SRR12486794	A_HEALTHY	14	1	F3	Swab
Sample-182-114F2_SRR12486795	A_HEALTHY	14	1	F2	Swab
Sample-181-113F3_SRR12486796	A_HEALTHY	13	1	F3	Swab
Sample-180-112F3_SRR12486797	A_HEALTHY	12	1	F3	Swab
Sample-179-112F1_SRR12486798	A_HEALTHY	12	1	F1	Swab
Sample-178-111F4_SRR12486799	A_HEALTHY	11	1	F4	Swab
Sample-177-110F4_SRR12486800	A_HEALTHY	10	1	F4	Swab
Sample-176-110F3_SRR12486801	A_HEALTHY	10	1	F3	Swab
Sample-113-B19_SRR12486802	A_HEALTHY	23	19	F4	Swab
Sample-102-B8_SRR12486803	E_CODD	5	33	F2	Swab
Sample-101-B7_SRR12486804	TRANSITION	5	23	F2	Swab
Sample-175-11F1_SRR12514653	A_HEALTHY	1	1	F1	Swab
Sample-17-1712F3_SRR12514654	A_HEALTHY	12	17	F3	Swab
Sample-157-325F2_SRR12514655	D_FOOTROT	5	32	F2	Swab
Sample-154-315F2_SRR12514656	D_FOOTROT	5	31	F2	Swab
Sample-150-3112F3_SRR12514657	D_FOOTROT	12	31	F3	Swab
Sample-144-308F3_SRR12514658	D_FOOTROT	8	30	F3	Swab
Sample-143-305F2_SRR12514659	D_FOOTROT	5	30	F2	Swab
Sample-141-3012F3_SRR12514660	D_FOOTROT	12	30	F3	Swab
Sample-139-299F1_SRR12514661	D_FOOTROT	9	29	F1	Swab
Sample-138-298F3_SRR12514662	D_FOOTROT	8	29	F3	Swab
Sample-111-B17_SRR12514663	E_CODD	8	43	F3	Swab
Sample-137-295F2_SRR12514664	D_FOOTROT	5	29	F2	Swab
Sample-134-2914F3_SRR12514665	D_FOOTROT	14	29	F3	Swab
Sample-131-2912F3_SRR12514666	D_FOOTROT	12	29	F3	Swab
Sample-13-158F3_SRR12514667	A_HEALTHY	8	15	F3	Swab
Sample-124-289F1_SRR12514668	D_FOOTROT	9	28	F1	Swab
Sample-123-288F3_SRR12514669	D_FOOTROT	8	28	F3	Swab
Sample-122-285F2_SRR12514670	C_ID	5	28	F2	Swab
Sample-120-282F2_SRR12514671	D_FOOTROT	2	28	F2	Swab
Sample-12-155F2_SRR12514672	A_HEALTHY	5	15	F2	Swab
Sample-119-2814F3_SRR12514673	D_FOOTROT	14	28	F3	Swab
Sample-110-B16_SRR12514674	E_CODD	8	38	F3	Swab
Sample-118-2812F3_SRR12514675	D_FOOTROT	12	28	F3	Swab
Sample-115-279F1_SRR12514676	D_FOOTROT	9	27	F1	Swab
